,acc_ankle_x,acc_ankle_y,acc_ankle_z,acc_chest_x,acc_chest_y,acc_chest_z,acc_hand_x,acc_hand_y,acc_hand_z,gyr_ankle_x,gyr_ankle_y,gyr_ankle_z,gyr_chest_x,gyr_chest_y,gyr_chest_z,gyr_hand_x,gyr_hand_y,gyr_hand_z,hr,hr_hr,labelascendingstairs,labelcycling,labeldescendingstairs,labelironing,labellying,labelnordicwalking,labelother,labelropejumping,labelrunning,labelsitting,labelstanding,labelvacuumcleaning,labelwalking,mag_ankle_x,mag_ankle_y,mag_ankle_z,mag_chest_x,mag_chest_y,mag_chest_z,mag_hand_x,mag_hand_y,mag_hand_z,temp_ankle_temp,temp_chest_temp,temp_hand_temp,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
0,9.5675395,-0.183272925,-2.7358945,0.170978035,9.791705,0.10456231,-9.552863,-1.5927795,1.0743129999999999,0.005049987,-0.004219213449999999,0.00938298745,0.017320365,-0.01841301,-0.00238670745,0.00629845,0.00025138215,-0.0086962055,78,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.589895,38.5383,-17.68911,6.837018,-39.348455,25.621985000000002,49.078525,-7.9382135,11.499865,32.921875,36.15625,33.36875,3.50960776455078,50.1875623814205,49.8030026981069,2.1850263043001203,16.146836995144902,-22.396990535213398,-6.850794124357611,2.8197315312288795,4.6780302232505795,8.73741901610934,0.707178357091572
1,9.57284365133895,-0.17919729291438896,-2.7327597966641597,0.187709406331288,9.78072669268866,0.0828380072387944,-9.564861646283939,-1.60372764637366,1.13781394232883,0.00191595058034785,-0.005951870037129001,0.00847245126419691,0.007340410840967709,-0.0056260487838761,-0.0109820525913828,-2.4147415253955602e-05,-0.00552537721923611,-0.0138502212496784,78,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.6021187363433,38.3502725496142,-17.9127157487332,6.817114,-39.347955125570394,25.648816227126197,49.3435366570949,-7.69513570485007,11.1073808971438,33.0,36.259375,33.465625,3.389449011163,50.4143586712585,49.5139117428884,2.0145911152691003,16.1614230370522,-22.1539226938277,-6.791622159722,2.76153250951599,4.446852292564389,9.010513391156,0.704772250641298
2,9.5742881242367,-0.18812969362173798,-2.74425850468718,0.15585973028917002,9.775534355160561,0.151129919641326,-9.545784959243369,-1.64659257868772,1.1167108952441398,0.00335142872495118,-0.00502061174666332,0.00685015335623536,0.00513930108297239,-0.00762959918799629,-0.0161796159449869,-0.00590316936895906,0.00312685244732008,-0.0122674288387794,78,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.417462382526104,38.409310925441396,-17.9848365245201,7.4778804999999995,-39.4797300066868,25.3100444158568,49.405739805723705,-7.5118697351109,11.1752653970983,33.01875,36.3125,33.5,3.4594811237317904,50.0875945200919,49.6840631840777,1.8385256742677,15.984377787135301,-22.340598611328897,-6.79158167469285,2.5597142326674,4.51468520273326,9.61537789544883,0.7288784357408109
3,9.58103606503624,-0.16728872775718398,-2.7580482071995496,0.109051372837864,9.766568171392409,0.262569163737349,-9.54965345867544,-1.68585748830825,1.0705939869792,0.00344680999919442,-0.00606902208423503,0.00831783995962594,0.0039108231430498,-0.00287667276855761,-0.0143451679679609,-0.0051157650741511,0.00370290949691291,-0.0104292895751561,78,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.4338216929782,38.4084302746677,-17.839728027863604,7.744635000000001,-39.57569472773589,24.8626663907049,49.1918114260381,-7.28484385595724,11.436426353943801,33.04375,36.3125,33.5,3.6500332586988,49.6562982163097,49.67120450912871,1.60641511216758,15.851030552859099,-22.7462456670721,-6.79200840100333,2.4891595627489598,4.58850668428421,9.73290237582414,0.7320793124929829
4,9.58713568230082,-0.191400966665229,-2.73701481892883,0.104625747155007,9.76606600919318,0.34606566010877804,-9.428188170973929,-1.99343930743009,0.36093345952398204,0.000758795605756309,-0.00428981069626257,0.00781943776920265,0.005373119428158071,-0.009439721830192259,-0.0154855558219463,0.0050236686461659205,-0.000248853301723772,-0.0232758775069128,78,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.382740225206206,38.3888485997711,-17.7906910479329,8.0083725,-39.7140328613986,24.5783220762752,50.215069347817106,-9.2702448475897,1.83942849954263,33.0625,36.35,33.5,3.85889450968188,51.63189677194261,45.3691326949712,3.49349883722867,13.839836500270698,-16.931763898634,-9.670341258210131,-1.45917378050029,3.3621093308555,11.1882444630405,1.30296063179942
5,9.58613694990785,-0.18238677726003896,-2.7353276474528903,0.12130535230041399,9.803718138204312,0.29025712959087496,-9.572957071050949,-1.7658218261619898,0.705472524896484,2.5910075677839297e-06,-0.00622075536700534,0.007061227630415441,0.0021216507902449802,-0.0110956455044292,-0.0149749791034482,0.0054062124932996,-0.0037569520935650897,-0.0208277877872969,77,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.4232406269509,38.2610723299176,-17.6885982982695,8.4338795,-39.543011083648096,24.8463011927918,48.8997306952954,-8.826092741325839,8.65914905139671,33.0625,36.375,33.5625,4.899400323606519,50.43112818492251,48.7765534167111,2.7156709349690598,15.020161825606598,-20.999115578517,-8.00363492304532,1.60395365351875,4.82578276987013,10.351465214304199,1.2023109456658798
6,9.57425083171833,-0.17514232338991,-2.74515710003634,0.0718475250176724,9.788877777065,0.374293201566349,-9.586229750297099,-1.7350864880091799,0.8151512090929499,0.00121986625463654,-0.0066115209002992,0.006745996686304221,0.00240664005599258,-0.00992995544438162,-0.0150493999763521,-0.00277927660884281,-0.0017627347969982,-0.0194331715964592,77,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.458696100168794,38.2189939479946,-17.7937160120575,8.7025635,-39.774241413382505,24.403877804319702,48.8803738143629,-9.005778075313131,10.5904934678129,33.084375,36.375,33.5625,4.91441582150723,50.1508738800272,49.5768955032351,2.7305845307614702,14.9931350125597,-22.5621263018126,-7.540337216217519,2.15302464710145,5.318530900213441,10.4052675569929,1.04865432823458
7,9.56918488178516,-0.166643849461208,-2.7307914827053397,0.0601122007345619,9.789683849423632,0.38207355660117104,-9.60646443806014,-1.6986290377275601,0.8481247689920209,0.0022476354431416397,-0.005927731837924471,0.00559224114798251,0.004021943149697,-0.006153944295069529,-0.0144040685023042,-0.00477398553115996,-0.00397321878652673,-0.0173480371457174,77,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.428755366103104,38.332395372269204,-17.7418254489916,8.260691,-39.707471397073896,24.3375158899533,48.8545099189962,-9.19176850148503,11.0796789379982,33.125,36.3875,33.5625,4.912777711296941,50.2392137125354,49.748105115012294,2.8941426907926697,15.085503061022502,-22.9263588843123,-7.317119240547281,2.19064587207889,5.35439134999883,9.94683397430417,0.9806088821046479
8,9.57702071646407,-0.15179431993126902,-2.7217597532797004,0.128146721688774,9.7932025828397,0.277181743240475,-9.59280750365719,-1.6745941099043402,0.945024567616532,0.0030428149989963397,-0.00567766962639334,0.00485877044391151,0.007320692188466509,-0.00602555979547626,-0.0150970636901476,-0.00472502594548453,-2.54770023254374e-05,-0.0152506648165104,77,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.5305733151214,38.2188866026143,-17.973030620995,6.7208725000000005,-39.7189318465486,24.9895910845162,48.9959730849605,-9.410673397797641,10.606221774027599,33.125,36.4375,33.578125,4.57970621010702,51.2431330030633,49.1762647376081,3.1158285902428298,15.6461318032253,-22.4061806743297,-7.1260245389396,2.19606841505253,5.22218646820024,8.94573361119189,0.834787301671697
9,9.576621007871118,-0.134553066646296,-2.7416802423101605,0.15735062651850598,9.81408373247257,0.0649119846091857,-9.59377016473111,-1.6539372776858101,1.00506347561137,0.00317694632465034,-0.00544909161862413,0.00481508386066682,0.00533361650104683,-0.005383204318990979,-0.0148467753752964,-0.00595298752625504,-0.00115099348197329,-0.0146468809592924,76,76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.6844365726521,38.090153255660205,-17.779735095592898,6.6042315,-39.141048599105,26.057685630159195,49.082988803584996,-9.43809210435027,10.4665003338913,33.125,36.4375,33.571875,5.20545711548838,51.9310824083767,49.701318890513704,2.9542793564419,15.780371771536,-21.542223992718394,-7.212724935415549,2.92116647550865,4.97069140287134,8.65832235806771,0.927771794394592
