,timestamp,activity,hr
0,1.454956105656e+18,0,78.0
1,1.454956105756e+18,0,78.0
2,1.454956105856e+18,0,78.0
3,1.454956105956e+18,0,78.0
4,1.454956106056e+18,0,78.0
5,1.454956106156e+18,0,78.0
6,1.454956106256e+18,0,78.0
7,1.454956106356e+18,0,78.0
8,1.454956106456e+18,0,78.0
9,1.454956106556e+18,0,78.0
10,1.454956106656e+18,0,78.0
11,1.454956106756e+18,0,78.0
12,1.454956106856e+18,0,78.0
13,1.454956106956e+18,0,78.0
14,1.454956107056e+18,0,78.0
15,1.454956107156e+18,0,78.0
16,1.454956107256e+18,0,78.0
17,1.454956107356e+18,0,78.0
18,1.454956107456e+18,0,78.0
19,1.454956107556e+18,0,78.0
20,1.454956107656e+18,0,78.0
21,1.454956107756e+18,0,78.0
22,1.454956107856e+18,0,78.0
23,1.454956107956e+18,0,78.0
24,1.454956108056e+18,0,78.0
25,1.454956108156e+18,0,78.0
26,1.454956108256e+18,0,78.0
27,1.454956108356e+18,0,78.0
28,1.454956108456e+18,0,78.0
29,1.454956108556e+18,0,78.0
30,1.454956108656e+18,0,78.0
31,1.454956108756e+18,0,78.0
32,1.454956108856e+18,0,78.0
33,1.454956108956e+18,0,78.0
34,1.454956109056e+18,0,78.0
35,1.454956109156e+18,0,78.0
36,1.454956109256e+18,0,78.0
37,1.454956109356e+18,0,78.0
38,1.454956109456e+18,0,78.0
39,1.454956109556e+18,0,78.0
40,1.454956109656e+18,0,78.0
41,1.454956109756e+18,0,78.0
42,1.454956109856e+18,0,78.0
43,1.454956109956e+18,0,78.0
44,1.454956110056e+18,0,78.0
45,1.454956110156e+18,0,78.0
46,1.454956110256e+18,0,78.0
47,1.454956110356e+18,0,78.0
48,1.454956110456e+18,0,78.0
49,1.454956110556e+18,0,78.0
50,1.454956110656e+18,0,78.0
51,1.454956110756e+18,0,78.0
52,1.454956110856e+18,0,78.0
53,1.454956110956e+18,0,78.0
54,1.454956111056e+18,0,78.0
55,1.454956111156e+18,0,78.0
56,1.454956111256e+18,0,78.0
57,1.454956111356e+18,0,78.0
58,1.454956111456e+18,0,78.0
59,1.454956111556e+18,0,78.0
60,1.454956111656e+18,0,78.0
61,1.454956111756e+18,0,78.0
62,1.454956111856e+18,0,78.0
63,1.454956111956e+18,0,78.0
64,1.454956112056e+18,0,78.0
65,1.454956112156e+18,0,78.45454545454545
66,1.454956112256e+18,0,79.0
67,1.454956112356e+18,0,79.0
68,1.454956112456e+18,0,79.0
69,1.454956112556e+18,0,79.0
70,1.454956112656e+18,0,79.0
71,1.454956112756e+18,0,79.0
72,1.454956112856e+18,0,79.0
73,1.454956112956e+18,0,79.0
74,1.454956113056e+18,0,78.36363636363636
75,1.454956113156e+18,0,78.0
76,1.454956113256e+18,0,78.0
77,1.454956113356e+18,0,78.0
