,timestamp,activity,x,y,z
0,1.454956105656e+18,0,7.540769999999998,-39.8524,26.3559
1,1.454956105756e+18,0,6.89619,-39.1832,25.7836
2,1.454956105856e+18,0,6.621010000000001,-38.7868,26.4845
3,1.454956105956e+18,0,6.49956,-38.6528,25.9188
4,1.454956106056e+18,0,7.15542,-39.4508,25.9279
5,1.454956106156e+18,0,7.0282,-39.7042,26.0695
6,1.454956106256e+18,0,7.2876699999999985,-39.0682,25.3627
7,1.454956106356e+18,0,7.43526,-39.847,24.9451
8,1.454956106456e+18,0,6.78223,-39.6944,25.3627
9,1.454956106556e+18,0,6.65807,-39.6895,25.0798
10,1.454956106656e+18,0,6.53072,-39.1683,24.5119
11,1.454956106756e+18,0,6.1447699999999985,-39.7995,25.0769
12,1.454956106856e+18,0,7.04452,-39.7038,25.0826
13,1.454956106956e+18,0,6.64912,-39.5606,25.502
14,1.454956107056e+18,0,6.8919,-39.0542,25.9239
15,1.454956107156e+18,0,6.6421199999999985,-39.5608,25.925
16,1.454956107256e+18,0,6.8872399999999985,-39.0543,26.2058
17,1.454956107356e+18,0,7.02181,-38.6716,25.4996
18,1.454956107456e+18,0,6.50545,-39.0399,25.9211
19,1.454956107556e+18,0,6.5183300000000015,-39.4268,25.5004
20,1.454956107656e+18,0,6.90085,-39.183,25.5016
21,1.454956107756e+18,0,6.88797,-38.7961,25.9224
22,1.454956107856e+18,0,6.50705,-39.2981,26.0636
23,1.454956107956e+18,0,7.13248,-39.3223,27.1961
24,1.454956108056e+18,0,6.63157,-39.1738,26.2047
25,1.454956108156e+18,0,7.8027,-39.9909,26.2175
26,1.454956108256e+18,0,6.62138,-38.6577,26.3427
27,1.454956108356e+18,0,6.902819999999998,-39.3121,25.5024
28,1.454956108456e+18,0,6.6494800000000005,-39.4315,25.3603
29,1.454956108556e+18,0,6.26769,-39.4171,25.0755
30,1.454956108656e+18,0,6.39112,-39.6802,25.6419
31,1.454956108756e+18,0,6.66506,-39.6893,24.6568
32,1.454956108856e+18,0,7.55819,-39.4646,24.9438
33,1.454956108956e+18,0,7.04845,-39.9618,25.0841
34,1.454956109056e+18,0,6.64629,-38.9153,25.0753
35,1.454956109156e+18,0,6.52459,-39.6849,25.3609
36,1.454956109256e+18,0,6.768839999999999,-38.662,25.2157
37,1.454956109356e+18,0,6.12563,-39.1546,25.6371
38,1.454956109456e+18,0,7.026610000000002,-39.446,25.927
39,1.454956109556e+18,0,7.2835100000000015,-39.7138,26.2123
40,1.454956109656e+18,0,6.26966,-39.5462,25.0763
41,1.454956109756e+18,0,6.7725399999999985,-39.8237,26.0684
42,1.454956109856e+18,0,7.02734,-39.1878,25.6435
43,1.454956109956e+18,0,6.64825,-39.0443,25.0761
44,1.454956110056e+18,0,7.016780000000002,-38.8008,25.9233
45,1.454956110156e+18,0,7.541010000000001,-38.9487,25.5048
46,1.454956110256e+18,0,7.29246,-39.8426,25.7901
47,1.454956110356e+18,0,7.6886,-39.7275,25.0872
48,1.454956110456e+18,0,7.41895,-39.8474,25.932
49,1.454956110556e+18,0,6.40387,-39.2926,24.5118
50,1.454956110656e+18,0,6.78775,-40.2106,25.5067
51,1.454956110756e+18,0,7.43723,-39.976,24.9459
52,1.454956110856e+18,0,7.4317,-39.4598,24.8019
53,1.454956110956e+18,0,7.56125,-39.2064,24.5193
54,1.454956111056e+18,0,8.34863,-39.88,24.2466
55,1.454956111156e+18,0,8.32249,-39.2352,25.2298
56,1.454956111256e+18,0,8.60786,-40.1476,24.391
57,1.454956111356e+18,0,8.46616,-39.7559,24.8108
58,1.454956111456e+18,0,8.0634,-39.7421,25.7949
59,1.454956111556e+18,0,8.45168,-39.1109,25.089
60,1.454956111656e+18,0,7.808089999999999,-39.7325,25.6521
61,1.454956111756e+18,0,7.93838,-39.2209,25.0861
